1.37E+02	-4.71E-03
1.38E+02	-4.61E-03
1.39E+02	-4.51E-03
1.39E+02	-4.41E-03
1.40E+02	-4.32E-03
1.41E+02	-4.23E-03
1.42E+02	-4.14E-03
1.42E+02	-4.06E-03
1.43E+02	-3.98E-03
1.44E+02	-3.90E-03
1.45E+02	-3.82E-03
1.45E+02	-3.75E-03
1.46E+02	-3.67E-03
1.47E+02	-3.59E-03
